headline_sentiment,summary_sentiment,combined_sentiment,open,high,low,close,volume,daily_return,volatility_20d,volume_change,abnormal_return,log_volume,is_trading_day,news_count,sentiment_lag_1,sentiment_lag_2,sentiment_lag_3,sentiment_lag_4,sentiment_lag_5,next_day_return
0.06743333333333333,0.2627333333333333,0.12602333333333332,267.0,269.72,257.56,260.2,1427218.0,0.0,,0.0,-0.10623995037860262,14.171237652835973,True,3,,,,,,1.4219830899308228
0.0,0.5417833333333334,0.16253499999999999,258.53,268.545,258.0,263.9,1371668.0,1.4219830899308228,,-3.8921874583980887,1.31574313955222,14.131538075478188,True,6,0.12602333333333332,,,,,0.0
0.7506,0.1027,0.55623,258.53,268.545,258.0,263.9,1371668.0,0.0,,0.0,-0.10623995037860262,14.131538075478188,False,1,0.16253499999999999,0.12602333333333332,,,,0.0
0.6369,0.8885,0.71238,258.53,268.545,258.0,263.9,1371668.0,0.0,,0.0,-0.10623995037860262,14.131538075478188,False,1,0.55623,0.16253499999999999,0.12602333333333332,,,17.586206896551726
0.0,0.3612,0.10836,298.68,313.068,298.68,310.31,2988374.0,17.586206896551726,,117.86423536890851,17.479966946173125,14.910239984738078,False,1,0.71238,0.55623,0.16253499999999999,0.12602333333333332,,-0.39960039960039717
0.03771666666666667,0.42674999999999996,0.15442666666666668,309.2,313.1591,307.41,309.07,1721212.0,-0.39960039960039717,,-42.40305932256136,-0.5058403499789998,14.358539251802362,True,6,0.10836,0.71238,0.55623,0.16253499999999999,0.12602333333333332,-2.698417834147593
0.3183666666666667,0.5612,0.3912166666666666,308.6,309.585,299.11,300.73,2541840.0,-2.698417834147593,4.013668553851187,47.67733434347426,-2.8046577845261953,14.74839878618566,True,3,0.15442666666666668,0.10836,0.71238,0.55623,0.16253499999999999,-0.24606790143982815
0.0,0.23835,0.071505,297.79,303.45,296.0,299.99,1511202.0,-0.24606790143982815,4.016611495057226,-40.546926635822864,-0.3523078518184308,14.228415918620122,True,2,0.3912166666666666,0.15442666666666668,0.10836,0.71238,0.55623,1.1933731124370794
0.11842000000000001,0.29932,0.17268999999999998,300.79,305.74,299.02,303.57,1134701.0,1.1933731124370794,4.015022956849421,-24.914008848585432,1.0871331620584768,13.941879738068902,True,5,0.071505,0.3912166666666666,0.15442666666666668,0.10836,0.71238,-1.0277695424449118
0.11870000000000003,-0.3356,-0.017589999999999995,301.0,303.355,299.0,300.45,1419981.0,-1.0277695424449118,4.031962336035035,25.14142492163134,-1.1340094928235145,14.166154049206236,True,2,0.17268999999999998,0.071505,0.3912166666666666,0.15442666666666668,0.10836,-3.3050424363454844
0.23835,0.23835,0.23835,302.72,304.59,290.35,290.52,1944005.0,-3.3050424363454844,4.12958924660775,36.90359237201062,-3.411282386724087,14.480260836015674,True,2,-0.017589999999999995,0.17268999999999998,0.071505,0.3912166666666666,0.15442666666666668,2.6022304832713727
0.139925,0.24780000000000002,0.17228749999999998,291.13,300.93,289.01,298.08,1585650.0,2.6022304832713727,1.1901184623686223,-18.43385176478456,2.4959905328927703,14.276504975864919,True,4,0.23835,-0.017589999999999995,0.17268999999999998,0.071505,0.3912166666666666,-1.5096618357487879
0.11438,0.27608,0.16288999999999998,298.32,300.045,293.27,293.58,1471279.0,-1.5096618357487879,1.2258351391016826,-7.212877999558542,-1.6159017861273905,14.201642648492353,True,5,0.17228749999999998,0.23835,-0.017589999999999995,0.17268999999999998,0.071505,-1.4919272430002017
0.0,0.28773333333333334,0.08632,294.78,296.801,288.67,289.2,2027178.0,-1.4919272430002017,1.125169694684832,37.78338438868494,-1.5981671933788044,14.522155236082863,True,3,0.16288999999999998,0.17228749999999998,0.23835,-0.017589999999999995,0.17268999999999998,-4.623098201936382
0.25289999999999996,0.26355,0.25609499999999996,284.8,285.0,270.45,275.83,4245510.0,-4.623098201936382,1.455536241827759,109.4295616862456,-4.729338152314985,15.261372511853947,True,4,0.08632,0.16288999999999998,0.17228749999999998,0.23835,-0.017589999999999995,0.0
0.0,-0.4023,-0.12068999999999999,284.8,285.0,270.45,275.83,4245510.0,0.0,1.4528648569956721,0.0,-0.10623995037860262,15.261372511853947,False,1,0.25609499999999996,0.08632,0.16288999999999998,0.17228749999999998,0.23835,-1.301526302432654
0.15457500000000002,0.220025,0.17420999999999998,280.97,280.97,267.76,272.24,5589180.0,-1.301526302432654,1.4623509516973594,31.64920115604486,-1.4077662528112567,15.536343143852392,True,4,-0.12068999999999999,0.25609499999999996,0.08632,0.16288999999999998,0.17228749999999998,11.412724066999713
0.14988709677419357,0.3435548387096774,0.20798741935483872,303.0,319.3,298.5,303.31,11386186.0,11.412724066999713,2.8792640449248745,103.71836297990046,11.30648411662111,16.24791142421078,True,31,0.17420999999999998,-0.12068999999999999,0.25609499999999996,0.08632,0.16288999999999998,-7.279680854571224
0.042153333333333334,0.29208666666666666,0.11713333333333333,301.35,305.64,278.14,281.23,8241547.0,-7.279680854571224,1.6277861245325025,-27.61801888709705,-7.385920804949827,15.924698626982643,True,15,0.20798741935483872,0.17420999999999998,-0.12068999999999999,0.25609499999999996,0.08632,2.7699747537602626
-0.22372500000000003,-0.23010000000000003,-0.22563750000000002,275.67,291.375,271.65,289.02,3711405.0,2.7699747537602626,1.7718506683111026,-54.96713177756555,2.66373480338166,15.126921069091985,True,4,0.11713333333333333,0.20798741935483872,0.17420999999999998,-0.12068999999999999,0.25609499999999996,0.19721818559268467
